time_sent,time_reply,bet,side,result,duration_ms
2025-10-31T19:09:03.824Z,2025-10-31T19:09:07.167Z,10,h,loss,3343
2025-10-31T19:09:25.896Z,2025-10-31T19:09:29.882Z,20,h,win,3986
2025-10-31T19:09:47.834Z,2025-10-31T19:09:51.978Z,10,h,win,4144
2025-10-31T19:10:11.700Z,2025-10-31T19:10:15.265Z,10,h,loss,3565
2025-10-31T19:10:32.033Z,2025-10-31T19:10:35.536Z,20,h,win,3503
2025-10-31T19:10:50.881Z,2025-10-31T19:10:54.049Z,10,h,win,3168
2025-10-31T19:11:10.982Z,2025-10-31T19:11:14.234Z,10,h,loss,3252
2025-10-31T19:11:29.279Z,2025-10-31T19:11:32.641Z,20,h,win,3362
2025-10-31T19:11:51.505Z,2025-10-31T19:11:54.622Z,10,h,win,3117
2025-10-31T19:12:11.382Z,2025-10-31T19:12:14.515Z,10,h,loss,3133
2025-10-31T19:12:34.221Z,2025-10-31T19:12:37.372Z,20,h,win,3151
2025-10-31T19:12:55.534Z,2025-10-31T19:12:58.899Z,10,h,loss,3365
2025-10-31T19:13:16.760Z,2025-10-31T19:13:20.011Z,20,h,loss,3251
2025-10-31T19:13:36.651Z,2025-10-31T19:13:39.846Z,40,h,loss,3195
2025-10-31T19:13:55.590Z,2025-10-31T19:13:58.847Z,80,h,loss,3257
2025-10-31T19:14:17.128Z,2025-10-31T19:14:20.703Z,160,h,win,3575
2025-10-31T19:14:39.677Z,2025-10-31T19:14:42.805Z,10,h,loss,3128
2025-11-01T01:22:24.168Z,2025-11-01T01:22:27.253Z,3906,t,win,3085
2025-11-01T01:22:43.536Z,2025-11-01T01:22:46.944Z,3906,t,win,3408
2025-11-01T01:23:02.245Z,2025-11-01T01:23:05.466Z,3906,t,win,3221
2025-11-01T01:23:22.235Z,2025-11-01T01:23:25.892Z,3906,t,win,3657
2025-11-01T01:23:41.351Z,2025-11-01T01:23:44.873Z,3906,t,loss,3522
2025-11-01T01:24:04.792Z,2025-11-01T01:24:08.084Z,7812,t,loss,3292
2025-11-01T01:24:24.631Z,2025-11-01T01:24:27.735Z,15624,t,win,3104
2025-11-01T01:24:44.392Z,2025-11-01T01:24:47.544Z,3906,t,loss,3152
2025-11-01T01:25:05.951Z,2025-11-01T01:25:09.304Z,7812,t,win,3353
2025-11-01T01:25:26.842Z,2025-11-01T01:25:30.003Z,3906,t,loss,3161
2025-11-01T01:25:48.184Z,2025-11-01T01:25:51.457Z,7812,t,win,3273
2025-11-01T01:26:10.635Z,2025-11-01T01:26:13.728Z,3906,t,win,3093
2025-11-01T01:26:33.584Z,2025-11-01T01:26:36.810Z,3906,t,win,3226
2025-11-01T01:26:55.059Z,2025-11-01T01:26:58.628Z,3906,t,loss,3569
2025-11-01T01:27:14.740Z,2025-11-01T01:27:17.841Z,7812,t,win,3101
2025-11-01T01:27:37.696Z,2025-11-01T01:27:40.791Z,3906,t,win,3095
2025-11-01T01:28:00.045Z,2025-11-01T01:28:03.585Z,3906,t,loss,3540
2025-11-01T01:28:18.791Z,2025-11-01T01:28:22.153Z,7812,t,loss,3362
2025-11-01T01:28:38.898Z,2025-11-01T01:28:42.399Z,15624,t,loss,3501
2025-11-01T01:28:58.105Z,2025-11-01T01:29:01.697Z,31248,t,loss,3592
2025-11-01T01:29:19.097Z,2025-11-01T01:29:22.359Z,62496,t,loss,3262
2025-11-01T01:29:40.841Z,2025-11-01T01:29:44.200Z,124992,t,win,3359
2025-11-01T01:30:03.593Z,2025-11-01T01:30:06.929Z,3906,t,win,3336
2025-11-01T01:30:21.964Z,2025-11-01T01:30:25.082Z,3906,t,loss,3118
2025-11-01T01:30:43.691Z,2025-11-01T01:30:46.805Z,7812,t,win,3114
2025-11-01T01:31:03.069Z,2025-11-01T01:31:06.295Z,3906,t,loss,3226
2025-11-01T01:31:21.725Z,2025-11-01T01:31:24.832Z,7812,t,loss,3107
2025-11-01T01:31:44.170Z,2025-11-01T01:31:47.450Z,15624,t,loss,3280
2025-11-01T01:32:05.791Z,2025-11-01T01:32:09.133Z,31248,t,win,3342
2025-11-01T01:32:27.486Z,2025-11-01T01:32:31.930Z,3906,t,loss,4444
2025-11-01T01:32:48.423Z,2025-11-01T01:32:51.600Z,7812,t,win,3177
2025-11-01T01:33:06.793Z,2025-11-01T01:33:09.909Z,3906,t,loss,3116
2025-11-01T01:33:27.058Z,2025-11-01T01:33:30.187Z,7812,t,loss,3129
2025-11-01T01:33:47.341Z,2025-11-01T01:33:50.793Z,15624,t,win,3452
2025-11-01T01:34:08.355Z,2025-11-01T01:34:11.484Z,3906,t,loss,3129
2025-11-01T01:34:29.327Z,2025-11-01T01:34:33.020Z,7812,t,loss,3693
2025-11-01T01:34:53.011Z,2025-11-01T01:34:56.220Z,15624,t,win,3209
2025-11-01T01:35:14.553Z,2025-11-01T01:35:17.892Z,3906,t,loss,3339
2025-11-01T01:35:35.656Z,2025-11-01T01:35:39.061Z,7812,t,win,3405
2025-11-01T01:35:58.538Z,2025-11-01T01:36:01.786Z,3906,t,win,3248
2025-11-01T01:36:21.034Z,2025-11-01T01:36:24.520Z,3906,t,loss,3486
2025-11-01T01:36:40.381Z,2025-11-01T01:36:43.589Z,7812,t,loss,3208
2025-11-01T01:37:00.026Z,2025-11-01T01:37:03.141Z,15624,t,loss,3115
2025-11-01T01:37:20.012Z,2025-11-01T01:37:23.116Z,31248,t,loss,3104
2025-11-01T01:37:39.185Z,2025-11-01T01:37:42.238Z,62496,t,win,3053
2025-11-01T01:37:59.956Z,2025-11-01T01:38:03.204Z,3906,t,win,3248
2025-11-01T01:38:21.600Z,2025-11-01T01:38:25.240Z,3906,t,loss,3640
2025-11-01T01:38:42.237Z,2025-11-01T01:38:45.445Z,7812,t,win,3208
2025-11-01T01:39:02.146Z,2025-11-01T01:39:05.489Z,3906,t,win,3343
2025-11-01T01:39:24.915Z,2025-11-01T01:39:28.121Z,3906,t,win,3206
2025-11-01T01:39:47.673Z,2025-11-01T01:39:51.959Z,3906,t,loss,4286
2025-11-01T01:40:11.771Z,2025-11-01T01:40:15.349Z,7812,t,win,3578
2025-11-01T01:56:25.299Z,2025-11-01T01:56:28.580Z,3906,h,win,3281
2025-11-01T01:56:46.247Z,2025-11-01T01:56:49.530Z,3906,h,loss,3283
2025-11-01T01:57:08.535Z,2025-11-01T01:57:12.225Z,7812,h,loss,3690
2025-11-01T01:57:28.492Z,2025-11-01T01:57:32.930Z,15624,h,win,4438
2025-11-01T01:57:52.504Z,2025-11-01T01:57:55.769Z,3906,h,loss,3265
2025-11-01T01:58:13.872Z,2025-11-01T01:58:17.053Z,7812,h,win,3181
2025-11-01T01:58:33.893Z,2025-11-01T01:58:37.086Z,3906,h,loss,3193
2025-11-01T01:58:53.629Z,2025-11-01T01:58:56.953Z,7812,h,win,3324
2025-11-01T01:59:14.085Z,2025-11-01T01:59:17.338Z,3906,h,win,3253
2025-11-01T01:59:33.781Z,2025-11-01T01:59:37.511Z,3906,h,win,3730
2025-11-01T01:59:53.171Z,2025-11-01T01:59:56.589Z,3906,h,win,3418
2025-11-01T02:00:14.083Z,2025-11-01T02:00:17.583Z,3906,h,win,3500
2025-11-01T02:00:36.998Z,2025-11-01T02:00:40.190Z,3906,h,win,3192
2025-11-01T02:00:57.423Z,2025-11-01T02:01:00.740Z,3906,h,win,3317
2025-11-01T02:01:20.449Z,2025-11-01T02:01:24.445Z,3906,h,win,3996
2025-11-01T02:01:43.366Z,2025-11-01T02:01:46.502Z,3906,h,win,3136
2025-11-01T02:02:01.815Z,2025-11-01T02:02:04.935Z,3906,h,loss,3120
2025-11-01T02:02:22.292Z,2025-11-01T02:02:25.408Z,7812,h,win,3116
2025-11-01T02:02:42.188Z,2025-11-01T02:02:46.852Z,3906,h,loss,4664
2025-11-01T02:03:05.747Z,2025-11-01T02:03:09.701Z,7812,h,win,3954
2025-11-01T02:03:25.163Z,2025-11-01T02:03:28.407Z,3906,h,win,3244
2025-11-01T02:03:45.679Z,2025-11-01T02:03:48.864Z,3906,h,loss,3185
2025-11-01T02:04:05.904Z,2025-11-01T02:04:09.175Z,7812,h,win,3271
2025-11-01T02:04:28.186Z,2025-11-01T02:04:32.286Z,3906,h,loss,4100
2025-11-01T02:04:49.839Z,2025-11-01T02:04:53.212Z,7812,h,loss,3373
2025-11-01T02:05:12.332Z,2025-11-01T02:05:15.523Z,15624,h,win,3191
2025-11-01T02:05:35.329Z,2025-11-01T02:05:38.482Z,3906,h,win,3153
2025-11-01T02:05:53.725Z,2025-11-01T02:05:57.904Z,3906,h,loss,4179
2025-11-01T02:06:16.788Z,2025-11-01T02:06:20.076Z,7812,h,loss,3288
2025-11-01T02:06:37.793Z,2025-11-01T02:06:40.948Z,15624,h,win,3155
2025-11-01T02:06:59.211Z,2025-11-01T02:07:02.777Z,3906,h,loss,3566
2025-11-01T02:07:18.942Z,2025-11-01T02:07:22.300Z,7812,h,loss,3358
2025-11-01T02:07:39.585Z,2025-11-01T02:07:42.761Z,15624,h,win,3176
2025-11-01T02:08:01.179Z,2025-11-01T02:08:04.340Z,3906,h,win,3161
2025-11-01T02:08:22.236Z,2025-11-01T02:08:27.677Z,3906,h,win,5441
2025-11-01T02:08:46.265Z,2025-11-01T02:08:49.421Z,3906,h,loss,3156
2025-11-01T02:09:04.562Z,2025-11-01T02:09:08.025Z,7812,h,win,3463
2025-11-01T02:09:23.484Z,2025-11-01T02:09:26.691Z,3906,h,win,3207
2025-11-01T02:09:42.161Z,2025-11-01T02:09:45.400Z,3906,h,win,3239
2025-11-01T02:10:03.816Z,2025-11-01T02:10:06.965Z,3906,h,win,3149
2025-11-01T02:13:57.255Z,2025-11-01T02:14:00.417Z,3906,t,loss,3162
2025-11-01T02:14:18.723Z,2025-11-01T02:14:22.325Z,7812,t,win,3602
2025-11-01T02:14:41.410Z,2025-11-01T02:14:45.030Z,3906,t,loss,3620
2025-11-01T02:15:02.211Z,2025-11-01T02:15:05.655Z,7812,t,win,3444
2025-11-01T02:15:25.502Z,2025-11-01T02:15:28.645Z,3906,t,win,3143
2025-11-01T02:15:48.122Z,2025-11-01T02:15:51.375Z,3906,t,win,3253
2025-11-01T02:16:09.661Z,2025-11-01T02:16:12.865Z,3906,t,loss,3204
2025-11-01T02:16:28.380Z,2025-11-01T02:16:31.469Z,7812,t,loss,3089
2025-11-01T02:16:51.332Z,2025-11-01T02:16:54.850Z,15624,t,win,3518
2025-11-01T02:17:13.358Z,2025-11-01T02:17:16.496Z,3906,t,win,3138
2025-11-01T02:17:33.032Z,2025-11-01T02:17:36.365Z,3906,t,loss,3333
2025-11-01T02:17:55.303Z,2025-11-01T02:17:58.591Z,7812,t,win,3288
2025-11-01T02:18:16.539Z,2025-11-01T02:18:19.734Z,3906,t,win,3195
2025-11-01T02:18:35.992Z,2025-11-01T02:18:39.257Z,3906,t,loss,3265
2025-11-01T02:18:55.307Z,2025-11-01T02:18:58.898Z,7812,t,loss,3591
2025-11-01T02:19:14.486Z,2025-11-01T02:19:18.257Z,15624,t,loss,3771
2025-11-01T02:19:36.430Z,2025-11-01T02:19:39.785Z,31248,t,loss,3355
2025-11-01T02:19:58.686Z,2025-11-01T02:20:02.253Z,62496,t,loss,3567
2025-11-01T02:20:21.606Z,2025-11-01T02:20:25.003Z,124992,t,win,3397
2025-11-01T02:20:44.199Z,2025-11-01T02:20:47.336Z,3906,t,loss,3137
2025-11-01T02:21:06.655Z,2025-11-01T02:21:10.336Z,7812,t,win,3681
2025-11-01T02:21:30.172Z,2025-11-01T02:21:33.384Z,3906,t,win,3212
2025-11-01T02:21:48.492Z,2025-11-01T02:21:51.689Z,3906,t,loss,3197
2025-11-01T02:22:08.983Z,2025-11-01T02:22:12.225Z,7812,t,win,3242
2025-11-01T02:22:28.880Z,2025-11-01T02:22:32.388Z,3906,t,loss,3508
2025-11-01T02:22:47.586Z,2025-11-01T02:22:51.668Z,7812,t,win,4082
2025-11-01T02:23:07.608Z,2025-11-01T02:23:10.818Z,3906,t,loss,3210
2025-11-01T02:23:29.019Z,2025-11-01T02:23:32.700Z,7812,t,loss,3681
2025-11-01T02:23:50.038Z,2025-11-01T02:23:53.177Z,15624,t,win,3139
2025-11-01T02:24:12.860Z,2025-11-01T02:24:16.291Z,3906,t,loss,3431
2025-11-01T02:24:33.214Z,2025-11-01T02:24:36.486Z,7812,t,win,3272
2025-11-01T02:24:54.454Z,2025-11-01T02:24:57.650Z,3906,t,loss,3196
2025-11-01T02:25:12.932Z,2025-11-01T02:25:16.253Z,7812,t,loss,3321
2025-11-01T02:25:32.893Z,2025-11-01T02:25:36.335Z,15624,t,win,3442
2025-11-01T02:25:55.671Z,2025-11-01T02:25:58.785Z,3906,t,loss,3114
2025-11-01T02:26:14.931Z,2025-11-01T02:26:19.303Z,7812,t,win,4372
2025-11-01T02:26:38.879Z,2025-11-01T02:26:42.477Z,3906,t,win,3598
2025-11-01T02:27:00.534Z,2025-11-01T02:27:03.952Z,3906,t,loss,3418
2025-11-01T02:27:23.446Z,2025-11-01T02:27:26.733Z,7812,t,loss,3287
2025-11-01T02:27:44.029Z,2025-11-01T02:27:47.173Z,15624,t,loss,3144
2025-11-01T02:28:03.207Z,2025-11-01T02:28:06.688Z,31248,t,loss,3481
2025-11-01T02:28:23.021Z,2025-11-01T02:28:26.140Z,62496,t,win,3119
2025-11-01T02:28:44.902Z,2025-11-01T02:28:48.084Z,3906,t,win,3182
2025-11-01T02:29:08.025Z,2025-11-01T02:29:11.307Z,3906,t,loss,3282
2025-11-01T02:29:27.450Z,2025-11-01T02:29:30.702Z,7812,t,loss,3252
2025-11-01T02:29:50.613Z,2025-11-01T02:29:53.806Z,15624,t,loss,3193
2025-11-01T02:30:10.848Z,2025-11-01T02:30:14.292Z,31248,t,win,3444
2025-11-01T02:30:32.749Z,2025-11-01T02:30:35.914Z,3906,t,loss,3165
2025-11-01T02:30:52.693Z,2025-11-01T02:30:55.873Z,7812,t,win,3180
2025-11-01T02:31:14.922Z,2025-11-01T02:31:18.593Z,3906,t,loss,3671
2025-11-01T02:31:34.784Z,2025-11-01T02:31:38.144Z,7812,t,loss,3360
2025-11-01T02:31:54.030Z,2025-11-01T02:31:57.181Z,15624,t,loss,3151
2025-11-01T02:32:13.914Z,2025-11-01T02:32:18.031Z,31248,t,win,4117
2025-11-01T02:32:33.850Z,2025-11-01T02:32:37.643Z,3906,t,win,3793
2025-11-01T02:32:55.419Z,2025-11-01T02:33:03.456Z,3906,t,loss,8037
2025-11-01T02:33:19.188Z,2025-11-01T02:33:22.800Z,7812,t,win,3612
2025-11-01T02:33:41.782Z,2025-11-01T02:33:45.368Z,3906,t,loss,3586
2025-11-01T02:34:03.396Z,2025-11-01T02:34:06.799Z,7812,t,win,3403
2025-11-01T02:35:44.399Z,2025-11-01T02:35:47.778Z,3906,h,win,3379
2025-11-01T02:36:03.205Z,2025-11-01T02:36:06.863Z,3906,h,win,3658
2025-11-01T02:36:22.580Z,2025-11-01T02:36:27.657Z,3906,h,loss,5077
2025-11-01T02:36:42.971Z,2025-11-01T02:36:46.120Z,7812,h,win,3149
2025-11-01T02:37:04.607Z,2025-11-01T02:37:08.078Z,3906,h,win,3471
2025-11-01T02:37:23.432Z,2025-11-01T02:37:27.031Z,3906,h,loss,3599
2025-11-01T02:37:44.672Z,2025-11-01T02:37:48.575Z,7812,h,win,3903
2025-11-01T02:38:05.419Z,2025-11-01T02:38:08.750Z,3906,h,win,3331
2025-11-01T02:38:25.883Z,2025-11-01T02:38:33.515Z,3906,h,win,7632
2025-11-01T02:38:49.086Z,2025-11-01T02:38:52.721Z,3906,h,win,3635
2025-11-01T02:39:09.243Z,2025-11-01T02:39:12.647Z,3906,h,loss,3404
2025-11-01T02:39:27.759Z,2025-11-01T02:39:31.070Z,7812,h,loss,3311
2025-11-01T02:39:50.233Z,2025-11-01T02:39:54.028Z,15624,h,win,3795
2025-11-01T02:40:13.187Z,2025-11-01T02:40:17.875Z,3906,h,loss,4688
2025-11-01T02:40:32.886Z,2025-11-01T02:40:36.463Z,7812,h,loss,3577
2025-11-01T02:40:55.568Z,2025-11-01T02:40:59.465Z,15624,h,loss,3897
2025-11-01T02:41:17.835Z,2025-11-01T02:41:21.149Z,31248,h,loss,3314
2025-11-01T02:41:37.013Z,2025-11-01T02:41:40.228Z,62496,h,loss,3215
2025-11-01T02:41:59.116Z,2025-11-01T02:42:02.814Z,124992,h,loss,3698
2025-11-01T02:42:20.202Z,2025-11-01T02:42:23.846Z,249984,h,win,3644
2025-11-01T02:42:41.313Z,2025-11-01T02:42:45.050Z,3906,h,loss,3737
2025-11-01T02:43:01.261Z,2025-11-01T02:43:04.430Z,7812,h,loss,3169
